Processed,Method,URI,Flags
true,GET,https://juice-shop.herokuapp.com,Seed
true,GET,https://juice-shop.herokuapp.com/robots.txt,Seed
true,GET,https://juice-shop.herokuapp.com/sitemap.xml,Seed
true,GET,https://juice-shop.herokuapp.com/assets/public/favicon_js.ico,
true,GET,https://juice-shop.herokuapp.com/styles.css,
true,GET,https://juice-shop.herokuapp.com/chunk-24EZLZ4I.js,
true,GET,https://juice-shop.herokuapp.com/chunk-T3PSKZ45.js,
true,GET,https://juice-shop.herokuapp.com/chunk-4MIYPPGW.js,
true,GET,https://juice-shop.herokuapp.com/chunk-LHKS7QUN.js,
true,GET,https://juice-shop.herokuapp.com/chunk-TWZW5B45.js,
true,GET,https://juice-shop.herokuapp.com/polyfills.js,
true,GET,https://juice-shop.herokuapp.com/scripts.js,
true,GET,https://juice-shop.herokuapp.com/main.js,
true,GET,https://juice-shop.herokuapp.com/ftp,
false,GET,https://www.cookiesandyou.com/,Out of Scope
false,GET,https://angular.dev/best-practices/security,Out of Scope
false,GET,http://www.w3.org/2000/svg,Out of Scope
false,GET,http://www.w3.org/1999/xhtml,Out of Scope
false,GET,http://www.w3.org/1999/xlink,Out of Scope
false,GET,http://www.w3.org/XML/1998/namespace,Out of Scope
false,GET,http://www.w3.org/2000/xmlns/,Out of Scope
false,GET,http://www.w3.org/1998/Math/MathML,Out of Scope
true,GET,https://juice-shop.herokuapp.com/,
true,GET,https://juice-shop.herokuapp.com/ftp/quarantine,
true,GET,https://juice-shop.herokuapp.com/ftp/acquisitions.md,
true,GET,https://juice-shop.herokuapp.com/ftp/announcement_encrypted.md,
true,GET,https://juice-shop.herokuapp.com/ftp/coupons_2013.md.bak,
true,GET,https://juice-shop.herokuapp.com/ftp/eastere.gg,
true,GET,https://juice-shop.herokuapp.com/ftp/encrypt.pyc,
true,GET,https://juice-shop.herokuapp.com/ftp/incident-support.kdbx,
true,GET,https://juice-shop.herokuapp.com/ftp/legal.md,
true,GET,https://juice-shop.herokuapp.com/ftp/package-lock.json.bak,
true,GET,https://juice-shop.herokuapp.com/ftp/package.json.bak,
true,GET,https://juice-shop.herokuapp.com/ftp/suspicious_errors.yml,
true,GET,https://juice-shop.herokuapp.com/app/build/routes/fileServer.js:59:18,
true,GET,https://juice-shop.herokuapp.com/app/build/routes/fileServer.js:43:13,
true,GET,https://juice-shop.herokuapp.com/app/node_modules/express/lib/router/layer.js:95:5,
true,GET,https://juice-shop.herokuapp.com/app/node_modules/express/lib/router/index.js:328:13,
true,GET,https://juice-shop.herokuapp.com/app/node_modules/express/lib/router/index.js:286:9,
true,GET,https://juice-shop.herokuapp.com/app/node_modules/express/lib/router/index.js:365:14,
true,GET,https://juice-shop.herokuapp.com/app/node_modules/express/lib/router/index.js:376:14,
true,GET,https://juice-shop.herokuapp.com/app/node_modules/express/lib/router/index.js:421:3,
true,GET,https://juice-shop.herokuapp.com/app/node_modules/express/lib/router/index.js:280:10,
true,GET,https://juice-shop.herokuapp.com/app/node_modules/serve-index/index.js:149:39,
false,GET,https://owasp.org/,Out of Scope
false,GET,https://owasp-juice.shop/,Out of Scope
false,GET,https://socket.io/docs/v3/migrating-from-2-x-to-3-0/,Out of Scope
false,GET,https://www.googleapis.com/oauth2/v1/userinfo?alt=json,Out of Scope
false,GET,https://github.com/juice-shop/juice-shop,Out of Scope
false,GET,https://youtube.com/embed/$,Out of Scope
false,GET,https://player.vimeo.com/video/$,Out of Scope
false,GET,https://ponzico.win/ponzico.pdf,Out of Scope
false,GET,https://www.sec.gov/investor/alerts/ia_virtualcurrencies.pdf,Out of Scope
false,GET,https://accounts.google.com/o/oauth2/v2/auth,Out of Scope
false,GET,https://www.freeprivacypolicy.com/,Out of Scope
